RETURN_DATE,PRODUCT_ID,RETURN_ID,STATE,C5
Return_Date,Product_ID,Return_ID,State,Abbreviation
8/29/2024,433V2428H28231GW,60885564,Pennsylvania,PA
8/29/2024,682N2685J55353WY,48004435,Washington,WA
8/29/2024,251F2339D11259BK,62792260,Wisconsin,WI
8/28/2024,143T2823F84043WV,82600561,Wisconsin,WI
8/28/2024,690Y7820H85174WN,17486205,West Virginia,WV
8/27/2024,212J2000A80592LU,94733777,New York,NY
8/27/2024,846B1768D74467XK,48016378,Alabama,AL
8/27/2024,286U2485Y64560FD,72388093,Wyoming,WY
8/27/2024,803Z2011V42232VP,34243697,Colorado,CO
8/26/2024,943Z3144R72128AC,66358357,Michigan,MI
8/26/2024,249I2145I52679HA,56142092,Connecticut,CT
8/26/2024,221G7829S61769YW,77865442,Idaho,ID
8/26/2024,736L4545M14515CT,27730523,Oklahoma,OK
8/26/2024,868Z3612X31694SO,42393976,Kansas,KS
8/26/2024,393K4289V81080FZ,31949116,Virginia,VA
8/26/2024,317Q8908Y53975AS,91140944,California,CA
8/26/2024,144J5848B87791WU,45660237,Connecticut,CT
8/26/2024,421C3517U73993PS,46152010,District of Columbia,DC
8/25/2024,298S5712F99699WE,20191107,California,CA
8/25/2024,222D1357E40385CI,73874837,Texas,TX
8/25/2024,644J2143H60609VG,34818277,Michigan,MI
8/25/2024,377E2471Y56785VC,13917248,New Jersey,NJ
8/24/2024,526R8224D88189MI,48271520,Utah,UT
8/24/2024,526R8224D88189MI,37874589,New Mexico,NM
8/24/2024,148X8773K65911BH,87495444,Tennessee,TN
8/24/2024,974D6146T48234PR,71419181,Missouri,MO
8/24/2024,679N9393P72490UP,14681159,Maryland,MD
8/24/2024,661V1474R12602AP,23122002,Connecticut,CT
8/24/2024,194G9844B47969XP,21973670,Connecticut,CT
8/24/2024,526R8224D88189MI,81594580,New Jersey,NJ
8/24/2024,526R8224D88189MI,48530607,West Virginia,WV
8/24/2024,194G9844B47969XP,79505474,Missouri,MO
8/24/2024,266X7470K33444FK,32751163,New Hampshire,NH
8/24/2024,544X2265J84747NW,32156518,New York,NY
8/24/2024,526R8224D88189MI,19574180,Virginia,VA
8/23/2024,523T5934M77740NC,22699299,South Dakota,SD
8/22/2024,217D9410L10575RR,46349190,Indiana,IN
8/22/2024,970G2766O14191SZ,36715365,Montana,MT
8/22/2024,233K8559L95337FT,49031795,Delaware,DE
8/22/2024,888O5153V87209LN,31847160,Oklahoma,OK
8/22/2024,866L6666X72289IM,80319767,Mississippi,MS
8/22/2024,780N4127H98536JX,10150475,Nebraska,NE
8/22/2024,970G2766O14191SZ,61019099,California,CA
8/22/2024,970G2766O14191SZ,15005108,District of Columbia,DC
8/20/2024,414O6272H47162SM,48897345,North Carolina,NC
8/20/2024,867Y2177R43738HW,42087642,Utah,UT
8/20/2024,318H6001I93542NT,62432535,Delaware,DE
8/20/2024,607D1102N19864UR,22398299,Vermont,VT
8/19/2024,361B7793W21921ER,75865634,New Hampshire,NH
8/19/2024,354U6516J47831KA,47591704,North Dakota,ND
8/19/2024,639Z1814H45870IA,15772257,Mississippi,MS
8/19/2024,856C1325J45416BR,58655367,Mississippi,MS
8/19/2024,183D9270O49999SA,82779307,Nevada,NV
8/19/2024,544W3944W26230UA,43598740,Utah,UT
8/19/2024,842I9642C49613IZ,33741973,South Carolina,SC
8/18/2024,393P7188D12233QI,87181530,Alabama,AL
8/18/2024,362Y5705V20756NQ,92192707,Illinois,IL
8/18/2024,699H2327P54486QI,21512641,Colorado,CO
8/18/2024,601C7375C42104MO,46092162,Delaware,DE
8/18/2024,875M1417R80902KX,37845841,Oregon,OR
8/18/2024,278P9226F58253PL,39335593,South Carolina,SC
8/18/2024,825V9925W37819RR,22439600,Kentucky,KY
8/17/2024,139T8502T12712WP,42085344,Connecticut,CT
8/17/2024,201C5888W92717KF,24716601,Ohio,OH
8/17/2024,323D2085G53491LF,92313351,Louisiana,LA
8/17/2024,798U1573N10865WB,82215924,Maine,ME
8/17/2024,424B9816R89831DW,15364771,Mississippi,MS
8/17/2024,941C2659V59815IM,63453207,Nebraska,NE
8/17/2024,622A7345X11507KU,47006496,District of Columbia,DC
8/17/2024,603L5365A59182LP,76124987,Minnesota,MN
8/17/2024,999D5376U17093ZC,69045962,Virginia,VA
8/17/2024,495G3962P99452XB,98933705,Pennsylvania,PA
8/16/2024,352C8354J52777TE,23153361,Ohio,OH
8/15/2024,223E5885M21221LR,36936455,West Virginia,WV
8/15/2024,337U8451G63662QY,98826061,Massachusetts,MA
8/15/2024,779N2486B50079XX,75297628,Nevada,NV
8/15/2024,905X1003F40726HY,90509323,District of Columbia,DC
8/15/2024,847M9077J72934JG,32753930,New York,NY
8/15/2024,552Y6683Z40443OG,43340450,Texas,TX
8/15/2024,992Z9233M92605XG,24864337,Arizona,AZ
8/15/2024,946D6228I55255VB,15655096,Nebraska,NE
8/15/2024,855W7768E13012IH,45031885,New York,NY
8/15/2024,906R6643H41401CQ,32571212,North Carolina,NC
8/14/2024,437G6455X22386AS,54562068,Nebraska,NE
8/14/2024,754I3773A59441YE,15140299,Nebraska,NE
8/13/2024,764S4850I78203CT,96629891,Arkansas,AR
8/13/2024,600X1375D58910TG,21021012,Georgia,GA
8/13/2024,419A1971S93728OP,24696519,Kentucky,KY
8/13/2024,250Q7484N12108DK,33353842,Connecticut,CT
8/13/2024,854G9704U63152VR,40555525,Connecticut,CT
8/12/2024,894J5982W33430JC,22163365,Nebraska,NE
8/12/2024,164R5586V19556TM,56980507,Delaware,DE
8/12/2024,751B5095O37559VR,62033763,Hawaii,HI
8/12/2024,838B1871O60041IP,47445293,Michigan,MI
8/12/2024,715F5446S34582UL,59125554,Ohio,OH
8/12/2024,938Y8417B19303PT,66152157,Oklahoma,OK
8/12/2024,462G3146S19234KV,93101617,Tennessee,TN
8/12/2024,704U5357X52650HU,43346877,Oregon,OR
8/12/2024,419K2944W37957RV,66719958,Arkansas,AR
8/12/2024,758M1851P83407HE,28622488,California,CA
8/11/2024,199L7496W78617QY,63233968,Kentucky,KY
8/11/2024,883X4726G99556CD,72975330,Missouri,MO
8/11/2024,557K6562K67932GF,58195050,Connecticut,CT
8/11/2024,825H7665X20672HW,67951731,Ohio,OH
8/11/2024,674W6283H62922IB,61208294,Colorado,CO
8/11/2024,690I3053V38030NY,45039144,Connecticut,CT
8/10/2024,167G6276V31201LO,70452520,Minnesota,MN
8/10/2024,462B4903U72356LK,14728892,Virginia,VA
8/10/2024,503H2465L81864YF,56263111,New Hampshire,NH
8/10/2024,884D9775O46423WT,94336242,Colorado,CO
8/10/2024,925J2391K98960ZP,68588338,Nevada,NV
8/10/2024,250Q5387M44782HQ,41655307,Delaware,DE
8/10/2024,168Z2151N82023PE,82387177,Oklahoma,OK
8/10/2024,937I9340A37110GS,51518611,Delaware,DE
8/9/2024,963A8901B73278WI,39773446,Massachusetts,MA
8/8/2024,474B1103U35007HM,48916313,District of Columbia,DC
8/8/2024,970G6976V16215WP,75653479,Vermont,VT
8/6/2024,345M4397C88264UY,52386739,Montana,MT
8/6/2024,326H9893R70365KJ,31542103,Utah,UT
8/6/2024,176M5083D20833SK,59426083,Illinois,IL
8/6/2024,611B5069R98828GG,45754382,New Mexico,NM
8/5/2024,609S2736D78499JK,71400662,Illinois,IL
8/5/2024,953M2474R74656PB,63790263,South Dakota,SD
8/5/2024,606N5190Q29835FS,31659804,Iowa,IA
8/5/2024,821V9065Q70952ZF,88903010,Wisconsin,WI
8/5/2024,610T3614C65340OC,82993567,California,CA
8/5/2024,687F8070F12415CV,88713665,Texas,TX
8/5/2024,647D4322B68874IL,62756768,Alabama,AL
8/4/2024,361X3921J78405HC,88266538,Texas,TX
8/4/2024,181V3902C49512EQ,54574073,North Carolina,NC
8/4/2024,164S2547O69518IG,93194861,Minnesota,MN
8/3/2024,191Z8929R76408NS,67776165,Washington,WA
8/3/2024,347I7453Y62853EA,21683614,Tennessee,TN
8/3/2024,882S9831F68294MT,66395479,Connecticut,CT
8/3/2024,882W2707H48865VZ,81593729,Colorado,CO
8/2/2024,272G2134L75244XS,69389072,Nevada,NV
8/1/2024,317Y7842U87157UF,98887027,New Mexico,NM
8/1/2024,231F4287E20942MM,76494556,Massachusetts,MA
7/31/2024,176P4036N80911RK,81851010,California,CA
7/31/2024,512K4798A17528KB,86367082,Missouri,MO
7/31/2024,748I9884M19494FK,16191241,Florida,FL
7/31/2024,787K4267J32477QC,18475281,Vermont,VT
7/31/2024,745Y3201Q81149FJ,95377851,West Virginia,WV
7/31/2024,723U4257N43485QT,62817090,California,CA
7/31/2024,723U4257N43485QT,91612284,Delaware,DE
7/31/2024,723U4257N43485QT,58761708,North Dakota,ND
7/31/2024,535H9392J67095YZ,75114785,Mississippi,MS
7/31/2024,143P6146B64707AT,94791011,Texas,TX
7/31/2024,817R2806A20437CF,45079670,Vermont,VT
7/31/2024,575M6676P72805AT,85062030,Massachusetts,MA
7/30/2024,956P5402C20154EW,22490961,District of Columbia,DC
7/29/2024,746Y2565Q13053IZ,22089841,Vermont,VT
7/29/2024,704I2762D22890FZ,97363735,New Hampshire,NH
7/29/2024,681L4423U39217ER,52415675,South Dakota,SD
7/29/2024,243N9271J77359NU,23578480,Arizona,AZ
7/29/2024,812A8034A41402VN,51311894,Washington,WA
7/28/2024,670J3158B49072WG,21630705,Kansas,KS
7/28/2024,812C4498B62852RK,16186422,Pennsylvania,PA
7/28/2024,282Y1315H15567WI,37409995,Idaho,ID
7/28/2024,368H7286U42123SZ,45511810,California,CA
7/28/2024,814J6408J83874WO,87154813,New Jersey,NJ
7/28/2024,434J5955U86242GA,36224759,Colorado,CO
7/27/2024,537S3963D45082MM,65934609,Montana,MT
7/27/2024,946R6694Z21977SL,18512828,District of Columbia,DC
7/27/2024,808M7427L70596CH,83716513,Arkansas,AR
7/26/2024,723D1795G45127NL,94442899,Colorado,CO
7/26/2024,263N1680L72644II,43801274,Oregon,OR
7/26/2024,667Z1807X61350SW,46484573,California,CA
7/25/2024,343X9125D85143QK,48670469,Pennsylvania,PA
7/25/2024,294L5990Q91652XZ,66088807,Vermont,VT
7/25/2024,373T9557Y20274NP,43761106,New Hampshire,NH
7/24/2024,102N2680L78528ZM,31888454,Virginia,VA
7/24/2024,862O4446J56350QL,53210131,Nevada,NV
7/24/2024,633D1244U48650OS,22578592,Wyoming,WY
7/24/2024,878K1300W48006ON,85629545,California,CA
7/24/2024,823P8090A73732JF,48618915,New Hampshire,NH
7/23/2024,544R2869J75568DE,17570408,New Hampshire,NH
7/23/2024,116E1172R93922RE,30097504,New Hampshire,NH
7/22/2024,361J8817X84024CU,16598582,District of Columbia,DC
7/22/2024,458J8118X52573CK,18379314,Hawaii,HI
7/22/2024,213M5657R66014GS,61279159,South Dakota,SD
7/22/2024,122R6273F37103SE,58771228,Mississippi,MS
7/22/2024,187J9197O49797ME,66042470,Montana,MT
7/22/2024,422W6073P68633KB,14636320,Iowa,IA
7/22/2024,625G7524B20997LG,29047905,Delaware,DE
7/22/2024,825H7545K55152IH,57965673,Missouri,MO
7/22/2024,926I7213D53262CB,23544070,Nebraska,NE
7/21/2024,624Z8386W95408CQ,11216582,Wyoming,WY
7/21/2024,668W5014Z88925GD,89062354,California,CA
7/21/2024,664Z5153M22901VS,24072265,Connecticut,CT
7/21/2024,943C3055U45948UZ,20665396,Delaware,DE
7/21/2024,102K3475U38907OA,63274667,Nevada,NV
7/21/2024,153R3209Y23523FR,12689883,Maine,ME
7/21/2024,222G3994L35864YU,81798428,Missouri,MO
7/21/2024,399E7172S63532UZ,73256603,Rhode Island,RI
7/21/2024,931R3753S29241FL,11133109,Massachusetts,MA
7/21/2024,304E7757Y36009BM,56336833,Georgia,GA
7/20/2024,127B4477E35063LC,91523981,Alaska,AK
7/20/2024,469F5272O11598UX,81941824,Indiana,IN
7/20/2024,645J6256M81941VB,37770111,Oklahoma,OK
7/20/2024,407Q7610I61638QF,63248527,Florida,FL
7/20/2024,759N9506E25991YR,25627846,Hawaii,HI
7/20/2024,781M4422Q83759YR,43703956,Indiana,IN
7/20/2024,129N1479Z97848UF,41377265,North Carolina,NC
7/19/2024,285X5602F17912WF,93813119,Colorado,CO
7/19/2024,530W5561V55077OI,39475516,Colorado,CO
7/19/2024,712C7858Z46787TP,46449141,Rhode Island,RI
7/18/2024,929C9677O80879UI,38138256,Maine,ME
7/18/2024,293N5585O76301DX,17590120,Ohio,OH
7/18/2024,349W5663Q90966HJ,16147970,Delaware,DE
7/18/2024,118T3427R39598GA,40995300,South Carolina,SC
7/18/2024,659R3174R75986BJ,35814045,Rhode Island,RI
7/17/2024,452O9902R78474OK,22828984,Rhode Island,RI
7/17/2024,934M4571P53196GW,31194007,New York,NY
7/17/2024,834L7462V33821KL,13458835,Tennessee,TN
7/17/2024,182Z4784M64716XG,95579965,Indiana,IN
7/17/2024,130E1885J14654LY,68405683,New Jersey,NJ
7/17/2024,165P5446M60207ZZ,88690241,California,CA
7/17/2024,131P6643C58857VR,49673975,District of Columbia,DC
7/16/2024,674Z8390G57277XM,50564179,Georgia,GA
7/16/2024,863S4249C20250GW,75231047,Idaho,ID
7/16/2024,386E3731J55888AD,72719717,Alaska,AK
7/16/2024,948O7791I44558QR,14000952,Montana,MT
7/16/2024,899L6530I20066WQ,28643572,Colorado,CO
7/16/2024,733N4376X48979BK,32543231,Rhode Island,RI
7/16/2024,312T5985Q97464EF,94842421,South Dakota,SD
7/15/2024,531K1511Q91388SE,28206156,Iowa,IA
7/15/2024,929W7822M17515FY,61671051,Alabama,AL
7/15/2024,797B8894I21262XN,50867256,Iowa,IA
7/15/2024,574J7529J77743FQ,15623867,Kentucky,KY
7/15/2024,162H7057C31015GF,67161716,Michigan,MI
7/15/2024,936Y5371I66729JI,73873269,Texas,TX
7/15/2024,598E6637A41013GS,43163132,Oklahoma,OK
7/15/2024,299Z1087Q51027XI,33871704,Illinois,IL
7/14/2024,106Y4575S11939RP,91118335,Idaho,ID
7/14/2024,381F3989G56205RW,72678794,Georgia,GA
7/14/2024,566Q7470Z68595HG,21149991,Hawaii,HI
7/14/2024,472H4170W64063RD,11853206,Idaho,ID
7/14/2024,570P5597V45959HB,32602537,New Jersey,NJ
7/14/2024,960I5278G14285XC,80194351,Mississippi,MS
7/14/2024,209K4966M19614ER,51163844,Colorado,CO
7/14/2024,345W1970L23454TG,60104739,Mississippi,MS
7/12/2024,691C9280B58570VS,92691142,Ohio,OH
7/11/2024,525Q6289J80544KV,60772391,Montana,MT
7/11/2024,918T4530A39428XO,56703417,California,CA
7/11/2024,401K1307I58807ZN,87835868,North Dakota,ND
7/11/2024,392O4605E64715EY,35725951,Delaware,DE
7/10/2024,296A2094Y35043FR,84811201,New Mexico,NM
7/10/2024,531E6946I68173JM,81568891,Alabama,AL
7/10/2024,717V9694Y71353SB,91647116,Alaska,AK
7/10/2024,567D9354N18768UA,15552913,Arizona,AZ
7/10/2024,206U5743Z35875SL,89070457,Maryland,MD
7/9/2024,538C4401W58757DM,93692169,Missouri,MO
7/9/2024,892C2203Q92381QW,32506192,Colorado,CO
7/9/2024,821Z2983X40949FW,70329509,Alaska,AK
7/9/2024,445E6676F67120WZ,96290139,West Virginia,WV
7/9/2024,143Q5520I23967DJ,47784484,Florida,FL
7/9/2024,706Y1042P73579PL,65582166,North Carolina,NC
7/8/2024,479M8836Y61093QE,79489139,New Jersey,NJ
7/8/2024,138J6031C94197KS,12083275,Nevada,NV
7/8/2024,652I6442I63509AP,60088379,Maine,ME
7/8/2024,147D2328M31329BS,98223087,Minnesota,MN
7/7/2024,598J7579Q98731HP,27983766,West Virginia,WV
7/7/2024,740H6477L42731AJ,66079600,Oregon,OR
7/7/2024,690S8590W43210KW,98350207,Rhode Island,RI
7/7/2024,840S2693R49095GC,51989087,South Carolina,SC
7/7/2024,120N3208C61401BY,21369521,District of Columbia,DC
7/6/2024,480R2704H17091FH,98340356,Arizona,AZ
7/6/2024,839Q3630E54070OK,12805884,Wisconsin,WI
7/6/2024,135V6705Z19527PM,77206654,Maryland,MD
7/6/2024,557R9044B27328IC,26370581,Oregon,OR
7/6/2024,514X4814U69938BA,17268556,North Dakota,ND
7/6/2024,891V4947M87917ZC,29559622,Florida,FL
7/6/2024,929F5383M41501MX,26962710,New Jersey,NJ
7/5/2024,107S6134F47969RC,88823527,Louisiana,LA
7/5/2024,198R1713X60840VN,52062936,South Carolina,SC
7/5/2024,351M3821F61386AA,78051417,Connecticut,CT
7/5/2024,834M8408U63073UA,38239221,Wyoming,WY
7/4/2024,444Z9696H96796OP,44981074,Wisconsin,WI
7/3/2024,143T7580Y14525ZA,53504546,Wyoming,WY
7/3/2024,471M1496F63415AT,59200979,North Dakota,ND
7/3/2024,832W7665Z52728UY,17388128,Georgia,GA
7/2/2024,473A4314R80154ZZ,68427135,Colorado,CO
6/30/2024,162M9977J83812OW,83802721,Arkansas,AR
6/30/2024,562U3030W83955ZK,51369481,New Hampshire,NH
6/30/2024,755R3104O55873HZ,53317509,Nebraska,NE
6/29/2024,529Q9677T99265HF,91689863,Hawaii,HI
6/29/2024,258D7893E29538RT,23462232,Missouri,MO
6/27/2024,512O5870S51340FM,12495331,Arkansas,AR
6/27/2024,545B5797Y19196MU,87995648,Washington,WA
6/27/2024,931B8730M55251YB,81985144,Montana,MT
6/26/2024,348E9175S21290DS,16748626,Louisiana,LA
6/25/2024,256G7540R75308LZ,17996581,District of Columbia,DC
6/25/2024,124Y1139R29030IP,57370555,North Dakota,ND
6/25/2024,668L7503Y62524TL,31261902,Illinois,IL
6/24/2024,131B2820I44367ZR,86147587,Alaska,AK
6/24/2024,900H6559I53968NS,34514711,South Carolina,SC
6/24/2024,656D2657H76623BM,12416954,District of Columbia,DC
6/23/2024,896G3349I64149BC,27066095,Louisiana,LA
6/23/2024,594L4448H25046EC,42180656,Virginia,VA
6/22/2024,717M4937Q88153DC,37309698,Washington,WA
6/22/2024,906F5685Z99046GT,43788504,Connecticut,CT
6/21/2024,791Q3870W31429DW,72081165,New York,NY
6/21/2024,698W9523H36061HK,78580711,Tennessee,TN
6/21/2024,582I5569S83230QF,31788359,New Mexico,NM
6/21/2024,519K4604A45275WI,22939085,Pennsylvania,PA
6/21/2024,488R5962Q92078AP,58601609,Kansas,KS
6/21/2024,201M1638B98638XO,49393934,Florida,FL
6/20/2024,973Q9382U99274WD,72744931,Tennessee,TN
6/20/2024,929S2781K28905TS,61319677,District of Columbia,DC
6/20/2024,945Q8695B26398XQ,41884309,Kentucky,KY
6/19/2024,131N2517R59604BW,87783012,Montana,MT
6/19/2024,560Y3069J93659GY,17667345,Delaware,DE
6/19/2024,810W3537V65453WF,93578920,Kansas,KS
6/18/2024,266W7334S51742VA,29365491,Nevada,NV
6/18/2024,616A7834V23590IL,36392162,Mississippi,MS
6/17/2024,787H1689O21584KA,77343820,Pennsylvania,PA
6/17/2024,791Z8345I25185BJ,63515373,Maryland,MD
6/17/2024,634G4797K69739OL,67725122,Missouri,MO
6/17/2024,573U4876R98051LI,44750630,Colorado,CO
6/17/2024,402K1246Z16504IN,93795854,Delaware,DE
6/14/2024,354X3011D67220NE,87619230,Nevada,NV
6/12/2024,612I5846C48065YS,62966347,California,CA
6/11/2024,492V8576M88688PI,86896087,Maryland,MD
6/10/2024,771J5154G15307GH,85479340,Utah,UT
6/10/2024,329K1649B20151KP,29659924,Louisiana,LA
6/10/2024,999V5553F42989DA,49933444,Arizona,AZ
6/8/2024,272G9094E31106FM,28131667,North Carolina,NC
6/8/2024,640P6981B19668BM,44953366,Montana,MT
6/7/2024,626P3674E93694TV,67947565,Minnesota,MN
6/7/2024,932P2238A17532TW,56862125,Wisconsin,WI
6/7/2024,430H2041K64876SD,62631608,Michigan,MI
6/5/2024,958O4018O86480SY,35008297,Maine,ME
6/3/2024,933I6882B68817EJ,95703909,Minnesota,MN
6/2/2024,159Q7540P66605VD,36473170,Iowa,IA
6/1/2024,345B4852U98315PP,11702531,Connecticut,CT
2/1/2024,510U7566K62791OE,23205985,Indiana,IN
3/5/2024,143K7156S13808KN,70873990,Utah,UT
3/15/2024,380Y8115S82119UA,24094205,New Jersey,NJ
1/1/2024,451J4003R12210RY,77089951,New Mexico,NM
2/15/2024,637E4498V22269AO,50391822,Nebraska,NE
3/31/2024,800Z6655N94596BB,48198700,New Jersey,NJ
3/26/2024,981I4692D18784FZ,88904065,Delaware,DE
3/27/2024,792Q1500B82587PP,75734700,Kansas,KS
2/21/2024,655M4987L70424EA,82680027,Washington,WA
3/25/2024,948W2676Y71060RT,54780574,South Dakota,SD
3/23/2024,648E9335U48703IC,68993808,District of Columbia,DC
3/22/2024,826Z9957O14260TO,21237236,Wyoming,WY
3/21/2024,587Z4349R28946HT,82769385,Oregon,OR
